Market Place,Account Holder,Account,Psp Reference,Payment Psp Reference,Payment Merchant Reference,Capture Psp Reference,Capture Merchant Reference,Payout Psp Reference,Chargeback Psp Reference,Booking Date,TimeZone,Description,Main Currency,Main Amount,Record Type,Balance Currency,Pending (BC),Balance (BC),Exchange Rate,Bank account details,US State,Refund terms,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,8017094675800815,,,,,8017094675800815,,2024-03-03 04:06:21,PST,AffiniPayLLC payout,USD,-431.05,Payout,USD,0.00,-431.05,,"{""accountNumber"":""1000000001"",""accountType"":""CHECKING"",""bankAccountUUID"":""1b90cf9b-64eb-49e9-a709-c5784c63b8be"",""branchCode"":""111900659"",""countryCode"":""US"",""ownerCity"":""PASSED"",""ownerCountryCode"":""US"",""ownerName"":""Gateway Test Suite"",""ownerPostalCode"":""78746"",""ownerState"":""TX"",""ownerStreet"":""N Capital of TX Hwy"",""taxId"":""100000001""}",TX,,,,,,,
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,M6QKVTFL38N9TQ82,PZPDT6G5SQHG5S82,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-2Y4G2hyqg3ZrZoGV2OLXnu,WM2P2B2CC9XSTRT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-6kWijg9NSAou97rO8pXGtn,,,2024-03-03 08:43:14,PST,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-6kWijg9NSAou97rO8pXGtn,USD,-1.50,PendingDebit,USD,-1.50,0.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8017094862500285,,,,,,,2024-03-03 09:17:30,PST,AffiniPayLLCMP1 - 2528,USD,-0.03,Fee,USD,0.00,-0.03,,,,,,,,,,
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,M6QKVTFL38N9TQ82,PZPDT6G5SQHG5S82,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-2Y4G2hyqg3ZrZoGV2OLXnu,WM2P2B2CC9XSTRT5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-6kWijg9NSAou97rO8pXGtn,,,2024-03-03 09:17:36,PST,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-6kWijg9NSAou97rO8pXGtn,USD,-1.50,Debited,USD,1.50,-1.50,,,,,,,,,,
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,RHC7VKGL38N9TQ82,HDZR9JXX45BLNK82,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-3jVBvj5k6viWfKYT7vpVyS,HVMVGTVMP2DWHST5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-4RYkLtHWzxacD5eScAenjd,,,2024-03-03 09:24:11,PST,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-4RYkLtHWzxacD5eScAenjd,USD,-1.50,PendingDebit,USD,-1.50,0.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8017094897970313,,,,,,,2024-03-03 10:16:37,PST,AffiniPayLLCMP1 - 2529,USD,-0.03,Fee,USD,0.00,-0.03,,,,,,,,,,
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,RHC7VKGL38N9TQ82,HDZR9JXX45BLNK82,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-3jVBvj5k6viWfKYT7vpVyS,HVMVGTVMP2DWHST5,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-4RYkLtHWzxacD5eScAenjd,,,2024-03-03 10:16:48,PST,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-4RYkLtHWzxacD5eScAenjd,USD,-1.50,Debited,USD,1.50,-1.50,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8617095119330156,,,,,,,2024-03-03 16:25:34,PST,Transfer from the account 141562167 to the account 8817095119266697,USD,-100.00,FundTransfer,USD,0.00,-100.00,,,,,,,,,,
AffiniPayLLC,2Onr6ayywLDbv5HKhJYA2D-7kCiTskLnbzNp5yGN4xpqt,8817095119266697,8617095119330156,,,,,,,2024-03-03 16:25:34,PST,Transfer from the account 141562167 to the account 8817095119266697,USD,100.00,FundTransfer,USD,0.00,100.00,,,,,,,,,,
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,LFRMQ2QL38N9TQ82,HC33XJCXZ8NKGK82,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5KwhenMP6QrIxzgBylPwE4,MNBJQCQ363LWFL65,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5KwhenMP6QrIxzgBylPwE4-capture,,,2024-03-03 16:32:08,PST,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP-5KwhenMP6QrIxzgBylPwE4-capture,USD,123.45,PendingCredit,USD,123.45,0.00,,,,,,,,,,
